objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
entropy001,,l1y-DadJ-E0?si=xGxpznSJl64le1BO,Entropy A Love Story - The Video,video/mpeg,"The full-length video of the play as performed for audiences in Los Angeles, CA. The video reflects the emotional qualities of the piece as well as the financial constraints of its creators at the time. Every performance was recorded, and this video comprises segments from each instance of the show.",Christine Deitner,,2012-11-29,,youtube video,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Video,eng,
entropy002,32_AVestHasNoSleeves copy.jpg,,Production Photo,image/jpeg,Photo of L to R Chris Lee as Katherine and Lindsey Newell as Alice in an early scene in the play before Jack and Christopher enter their lives.,Christine Deitner,,2012-11-29,,single-page; photographs,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
entropy003,50_Entropy_Final copy.jpg,,Final Poster,image/jpeg,"California artist George Stokes was kind to lend his work to serve as the central image of the play. Sketched in a life drawing class in Burbank, CA, the physicality of the couple felt grounded in the narrative.",Christine Deitner and George Stokes,,2012-09-11,,single-page; photographs,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
entropy004,Christine_Deitner_Entropy copy.pdf,,Submission Materials,application/pdf,"This Logline, Synopsis, and Breakdown was created as part of a submission for a writing retreat.",Christine Deitner,,2009-01-26,,multiple-page; document,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
entropy005,ENTROPY - A Love Story copy.pdf,,Final Draft of the Play,application/pdf,"This play was pieced together from material found in letters, journals, poems, and conversations that transpired in various ways in a New York City that never knew a KMart in Astor Place. This final draft reflects discoveries made in two readings of the piece over the course of ten years.",Christine Deitner,,2012-11-29,,multiple-page; document,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
entropy006,Entropy_T1I_IMG_9926 copy.JPG,,Rehearsal Photo,image/jpeg,"Movement is a key aspect of all of the work this director creates. In this Photo (L to R) choreographer Heather Lipson Bell works with Lindsey Bell (Alice) and Jacob Jett (Jack) in the rehearsal space in Hollywood, CA.",Christine Deitner,,2012-09-20,,single-page; photographs,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image;StillImage,eng,
entropy007,Entropy_You Are My Sunshine.mp3,,Original Music,audio/mp3,"Phil Dumesnil of Folk Implosion recorded this cover of ""You Are My Sunshine"" for the final bows and exit music. The quietly pained vocal choices brought a different kind of life to this folk tune.",Phil Dumesnil,,2012-10-12,,music,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
entropy008,EntropyBreakdown copy.pdf,,Stage Breakdown,application/pdf,"Most plays require a lot of paperwork, and this one was no exception. Here is the detailed breakdown of set pieces, props, lighting and video cues including scene names and notes regarding which actors were in what scene.",Christine Deitner,,2012-08-17,,multiple-page; document,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
entropy009,EntropyLoveProgram copy.doc,,Program,application/pdf,The final Program for the run of the play contains production notes and biographical histories for the cast and crew.,Christine Deitner,,2012-10-18,,multiple-page; document,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,
entropy010,TellMeWhy_1 copy.m4a,,Live Music,audio/m4a,"This live recording of Chris Lee (as Katherine, also on guitar) and Matthew Emerick (as Christopher) performing ""Tell Me Why"" was taken during one of the performances at the Whitmore Lindley Theatre in North Hollywood, CA. This is a song my father used to sing to us on car rides, but these artists gave it a life I could not have expected.",Chris Lee and Matthew Emerick,,2012-12-05,,music,,"Los Angeles, CA",34.052235,-118.243683,,Chris Deitner,Entropy A Love Story,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,eng,
